,Price,Zip,Longitude,Latitude,Acres,Tax,Year_built,Bedrooms,Bathrooms,Sqrt_ft,Garage,Kitchen,Fire_places,Floor,HOA
233,1475000.0,85737,-110.977268,32.406646,3.31,14531.0,2007,5,5.0,6057.0,4.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,"Carpet, Natural Stone",138.0
235,1300000.0,85658,-111.069452,32.459643,1.01,20477.3,2008,5,6.0,5391.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,"Carpet, Natural Stone, Wood",149.0
236,1300000.0,85750,-110.810358,32.296773,2.07,10419.0,2007,4,4.0,5212.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,Natural Stone,0.0
238,1385000.0,85755,-110.99456,32.46879,0.98,16721.99,2005,4,5.0,4258.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Natural Stone",166.0
239,1447500.0,85755,-110.98931,32.467716,1.31,14100.66,2001,4,4.0,4048.0,2.0,"Dishwasher, Garbage Disposal, Microwave, Oven",1.0,"Carpet, Natural Stone",166.0
240,1200000.0,85750,-110.844774,32.326842,1.21,10610.26,2002,4,4.0,4426.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",0.0,Natural Stone,117.0
241,1350000.0,85718,-110.921821,32.313133,1.38,12708.13,2001,5,5.0,5394.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,"Carpet, Natural Stone, Wood",146.0
244,1400000.0,85718,-110.949772,32.346514,1.35,17691.0,2010,5,5.0,5578.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Natural Stone",195.0
245,1310000.0,85718,-110.919131,32.29979,1.25,10399.0,2005,4,4.0,5062.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Concrete",146.0
246,1400000.0,85750,-110.864627,32.332366,1.02,12664.0,2003,5,6.0,6238.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1.0,Concrete,191.0
247,1375000.0,85750,-110.837584,32.326273,1.1,11480.74,1990,5,5.0,4961.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Concrete, Natural Stone, Wood",117.0
248,1288000.0,85658,-111.047365,32.482415,1.44,17126.71,2007,4,5.0,5560.0,4.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",5.0,"Carpet, Natural Stone",148.0
249,1225000.0,85718,-110.929841,32.302219,1.2,3080.04,2012,4,5.0,4800.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Ceramic Tile, Natural Stone, Wood",0.0
250,1261000.0,85718,-110.886057,32.332805,1.04,14741.0,1974,5,4.0,5908.0,2.0,"Desk, Dishwasher, Freezer, Garbage Disposal, Gas Range, Island, Pantry: Closet, Refrigerator, Appliance Color: Stainless, Countertops: Granite",2.0,"Carpet, Natural Stone, Wood",258.0
252,1425000.0,85658,-111.062039,32.464916,2.19,3522.99,2017,4,5.0,4162.0,3.0,"Dishwasher, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Appliance Color: Stainless, Microwave: Wolf, Oven: Wolf",2.0,Natural Stone,148.0
253,1360000.0,85750,-110.814283,32.28924,4.52,10546.99,1974,5,6.0,6519.0,3.0,"Dishwasher, Double Sink, Gas Range, Pantry: Cabinet, Prep Sink, Refrigerator",3.0,"Carpet, Concrete",95.0
254,1430000.0,85718,-110.951711,32.346884,4.62,13325.87,2003,5,5.0,4950.0,3.0,"Compactor, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Reverse Osmosis, Warming Drawer, Appliance Color: Stainless, Countertops: Slab Granite, Microwave: Included, Oven: Double",4.0,"Carpet, Ceramic Tile, Natural Stone",0.0
258,1450000.0,85750,-110.82594,32.28051,2.11,5154.0,2015,5,4.0,4580.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1.0,Concrete,125.0
260,1300000.0,85749,-110.765143,32.27051,6.21,8927.03,2002,5,5.0,5660.0,6.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Ceramic Tile, Other",0.0
262,1400000.0,85755,-110.966415,32.45966,1.18,14385.19,2000,4,5.0,5973.0,2.0,"Desk, Dishwasher, Electric Range, Freezer, Gas Range, Indoor Grill, Island, Prep Sink, Refrigerator, Warming Drawer, Wet Bar, Countertops: granite, Oven: Viking",3.0,"Carpet, Natural Stone",0.0
264,1350000.0,85658,-111.090117,32.465879,0.56,7204.91,2009,4,5.0,3200.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,"Carpet, Wood, Other",116.0
265,1120150.0,85658,-111.060142,32.456128,2.98,13573.0,2007,4,6.0,4050.0,4.0,"Dishwasher, Refrigerator, Microwave, Oven",2.0,"Carpet, Natural Stone, Wood",149.0
266,1200000.0,85737,-110.962442,32.406059,1.5,14236.18,2008,6,7.0,8322.0,7.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",1.0,"Carpet, Ceramic Tile, Natural Stone, Wood",0.0
267,1375000.0,85718,-110.910212,32.298321,1.42,12533.5,1987,4,5.0,6005.0,4.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Natural Stone, Wood",194.0
268,1300000.0,85658,-111.099946,32.470512,0.33,8000.0,2008,2,3.0,2771.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Ceramic Tile, Natural Stone, Wood",550.0
269,1325000.0,85658,-111.09996,32.47052,0.33,7030.5,2008,2,3.0,2911.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Mexican Tile, Natural Stone, Wood",550.0
270,1425000.0,85718,-110.930739,32.327363,1.3,11644.95,2006,4,5.0,4445.0,7.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,Natural Stone,0.0
272,1467523.0,85658,-111.095514,32.470534,0.51,657.44,2014,2,3.0,2673.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Oven",1.0,"Carpet, Natural Stone",550.0
274,1375000.0,85718,-110.917927,32.308898,1.83,10151.0,2000,5,6.0,5785.0,3.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Pantry: Closet, Prep Sink, Refrigerator, Reverse Osmosis, Warming Drawer, Appliance Color: Stainless, Countertops: granite, Microwave: -, Oven: double",2.0,"Concrete, Natural Stone, Wood",214.0
275,1350000.0,85718,-110.921844,32.339712,1.43,11234.0,1993,4,6.0,5659.0,3.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Ceramic Tile, Natural Stone, Wood",311.0
276,1325000.0,85658,-111.051445,32.478547,1.55,18322.6,2009,5,5.0,5237.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,Natural Stone,143.0
277,1350000.0,85755,-111.003401,32.468078,1.01,6312.84,2014,3,4.0,4050.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Natural Stone, Wood",167.0
278,1263000.0,85750,-110.866368,32.327303,1.28,9295.0,2002,3,3.0,4415.0,3.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,"Carpet, Natural Stone, Wood",94.0
280,1400000.0,85742,-111.031257,32.408704,3.77,10577.73,2006,6,7.0,7000.0,5.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator",4.0,"Carpet, Concrete, Wood",0.0
282,1250000.0,85718,-110.882798,32.294902,2.19,4681.4,1967,5,5.0,4001.0,4.0,"Dishwasher, Freezer, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Warming Drawer, Appliance Color: Stainless, Countertops: quartz",2.0,"Carpet, Ceramic Tile",0.0
283,1250000.0,85750,-110.874401,32.31992,1.18,12887.82,2008,5,4.0,4662.0,3.0,"Dishwasher, Refrigerator",1.0,Ceramic Tile,0.0
284,1335000.0,85750,-110.837258,32.316408,0.84,10846.0,2001,4,5.0,5239.0,3.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Natural Stone",117.0
285,1340000.0,85658,-111.065736,32.464027,0.74,13471.34,2003,3,4.0,4020.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Natural Stone",191.0
286,1350000.0,85718,-110.923425,32.342333,0.84,8502.0,1988,4,4.0,4824.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Natural Stone",295.0
288,1443840.0,85658,-111.101901,32.47077,0.4,845.18,2013,3,4.0,2990.0,2.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Natural Stone",550.0
289,1325000.0,85715,-110.85333,32.254389,0.79,10290.77,2008,4,5.0,4542.0,4.0,"Dishwasher, Pantry: Walk-In, Refrigerator, Appliance Color: Stainless",2.0,Wood,57.33
290,1370000.0,85718,-110.942869,32.338693,1.02,4392.0,2013,5,4.0,4844.0,3.0,"Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Natural Stone",153.0
291,1220000.0,85755,-110.964823,32.467894,1.03,11898.25,2003,4,4.0,4418.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,Natural Stone,243.0
292,1425000.0,85718,-110.919413,32.287732,2.25,12510.67,2010,5,6.0,5456.0,3.0,"Dishwasher, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Prep Sink, Refrigerator, Warming Drawer, Countertops: granite, Microwave: stainless",4.0,"Concrete, Natural Stone, Wood",0.0
293,1125000.0,85718,-110.911923,32.288536,2.03,14937.98,1995,5,8.0,6644.0,3.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,Ceramic Tile,193.0
294,1250000.0,85718,-110.889424,32.291584,0.84,11178.12,2007,4,5.0,4752.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,"Carpet, Natural Stone, Wood",150.0
295,1275000.0,85658,-111.062705,32.47643,2.84,15579.0,2007,3,4.0,4257.0,3.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",5.0,Natural Stone,143.0
296,1341387.0,85718,-110.928844,32.307464,1.12,9103.13,1992,4,4.0,5289.0,3.0,"Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Wet Bar, Appliance Color: Stainless, Countertops: granite, Oven: yes",3.0,Concrete,0.0
297,1250000.0,85750,-110.841302,32.320262,1.0,10204.19,1986,4,6.0,5508.0,3.0,"Compactor, Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Ceramic Tile, Wood, Other",135.0
298,1314000.0,85718,-110.948444,32.348027,1.48,13901.0,2005,5,5.0,4854.0,4.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Natural Stone, Wood",171.0
300,1275000.0,85750,-110.841289,32.320256,1.0,9836.9,1986,3,5.0,5078.0,5.0,"Compactor, Dishwasher, Freezer, Garbage Disposal, Refrigerator, Microwave, Oven",2.0,"Carpet, Ceramic Tile, Wood, Other",116.0
301,1250000.0,85750,-110.843429,32.329365,1.15,15591.8,2005,4,4.0,5039.0,4.0,"Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",3.0,"Carpet, Concrete",142.0
303,1325000.0,85749,-110.713003,32.270072,5.77,10104.0,1995,5,4.0,5899.0,2.0,"Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven",4.0,"Carpet, Mexican Tile",0.0
304,1300000.0,85750,-110.848041,32.319277,0.59,11667.69,1996,5,4.0,5186.0,3.0,"Dishwasher, Garbage Disposal, Island, Pantry: Closet, Refrigerator, Reverse Osmosis, Appliance Color: Stainless, Countertops: granite",3.0,"Carpet, Natural Stone",135.0
